contraction,expansion
bocah,anak kecil
anak kecil,anak kecil
cow,cowok
cowok,laki-laki
pria,laki-laki
laki2,laki-laki
laki-laki,laki-laki
coy,kawan
cp,siapa
siapa,siapa
sapa,siapa
sopo,siapa
cpa,siapa
cpe,capek
cpet,cepat
cpt,cepat
cu,sampai jumpa
sampai jumpa,sampai jumpa
dadah,sampai jumpa
bye,sampai jumpa
cuek,tidak peduli
masa bodoh,tidak peduli
bodo amat,tidak peduli
cukupw,cukup
cuman,hanya
cuy,kawan
d,di
di,di
nang,di
dah,sudah
dateng,datang
datang,datang
teko,datang
rawuh,datang
dblg,dibilang
dibilang,dikatakan
de,adik
adik,adik
dek,adik
demen,suka
suka,suka
seneng,suka
denger,dengar
dengar,dengar
krungu,dengar
dengerin,dengarkan
dengarkan,dengarkan
rungokno,dengarkan
diancur,dihancurkan
dimaem,dimakan
dimakan,dimakan
dipangan,dimakan
didahar,dimakan
dimane,dimana
dimana,dimana
nangdi,dimana
dimsum,dim sum
dirmh,dirumah
dirumah,dirumah
omah,rumah
griya,rumah
rmh,rumah
dkt,dekat
dekat,dekat
cedak,dekat
dl,dulu
dulu,dulu
mbiyen,dulu
riyen,dulu
dlu,dulu
dmn,dimana
dna,dan
dan,dan
lan,dan
doi,dia
dia,dia
dee,dia
donk,dong
dong,dong
dongs,dong
dp,uang muka
uang muka,uang muka
duit,uang
uang,uang
doku,uang
duid,uang
hepeng,uang
duls,dulu
dun,dong
dy,dia
edan,gila
gila,gila
gendeng,gila
sinting,gila
eek,buang air besar
egp,emang gue pikirin
eke,aku
emang,memang
memang,memang
emg,memang
pancen,memang
emot,emosi
emosi,emosi
envy,iri
iri,iri
dengki,iri
ex,mantan
mantan,mantan
fav,favorit
favorit,favorit
kesukaan,favorit
faq,pertanyaan umum
pertanyaan umum,pertanyaan umum
fix,pasti
pasti,pasti
fyi,untuk informasimu
untuk info,untuk informasimu
info,informasi
informasi,informasi
gabut,gaji buta
gada,tidak ada
gadogado,campur aduk
campur aduk,campur aduk
gae,kerja
kerja,kerja
kerjo,kerja
makaryo,kerja
gampang,mudah
mudah,mudah
gampil,mudah
enteng,mudah
gan,juragan
juragan,bos
bos,bos
garing,tidak lucu
jayus,tidak lucu
kriuk,tidak lucu
gas,ayo
ayo,ayo
kuy,ayo
monggo,ayo
gawe,kerja
gay,homoseksual
homo,homoseksual
maho,homoseksual
gebetan,incaran
incaran,incaran
gegara,gara-gara
gara2,gara-gara
geje,tidak jelas
gemes,gemas
gemas,gemas
gengges,ganggu
geten,begini
begini,begini
gini,begini
ngene,begini
gino,begini
gile,gila
gt,begitu
ngono,begitu
guah,saya
gws,semoga lekas sembuh
smg cpt smbuh,semoga lekas sembuh
ha,tertawa
haha,tertawa
hahaha,tertawa
hehe,tertawa
hehehe,tertawa
wkwk,tertawa
wkwkwk,tertawa
xixi,tertawa
xixixi,tertawa
hallow,halo
halo,halo
helo,halo
hi,halo
hai,halo
habis,habis
entek,habis
telas,habis
hers,punyanya
punyanya,punyanya
hilang,hilang
ilang,hilang
lungo,hilang
ical,hilang
hlg,hilang
hlo,halo
hoax,berita palsu
berita bohong,berita palsu
hoby,hobi
hobi,hobi
kesenangan,hobi
horang,orang
orang,orang
uwong,orang
wong,orang
jalma,orang
manungso,orang
hr,hari
hari,hari
dino,hari
hrg,harga
harga,harga
rego,harga
hrini,hari ini
hari ini,hari ini
saiki,hari ini
hrs,harus
harus,harus
kudu,harus
wajib,harus
hrus,harus
hub,hubungan
hubungan,hubungan
huff,mengeluh
mengeluh,mengeluh
sambet,mengeluh
hum,rumah
ilfeel,tidak suka
ilang feeling,tidak suka
imho,menurut pendapat saya
mnrt sy,menurut pendapat saya
imoetz,imut
imut,lucu
lucu,lucu
unch,lucu
unyu,lucu
input,masukan
masukan,masukan
is,adalah
adalah,adalah
it,itu
itu,itu
iku,itu
kae,itu
ja,saja
jadi,jadi
jd,jadi
jdi,jadi
dadi,jadi
jaim,jaga citra
jaga image,jaga citra
jangan,jangan
ojo,jangan
jgn,jangan
jeles,cemburu
cemburu,cemburu
iri hati,cemburu
jem,jam
jam,jam
jkt,jakarta
jln,jalan
jalan,jalan
dalan,jalan
margi,jalan
jls,jelas
jelas,jelas
jomblo,sendiri
sendiri,sendiri
single,sendiri
jualan,berjualan
dodol,berjualan
berjualan,berjualan
dagang,berjualan
jujur,benar
jum,jumat
jumat,jumat
ka,kakak
kabor,kabur
kabur,pergi
mlayu,pergi
kacian,kasihan
kasihan,kasihan
mesake,kasihan
welas,kasihan
kampret,sialan
sialan,sialan
asem,sialan
asu,anjing
kasian,kasihan
kayaknya,sepertinya
sepertinya,sepertinya
koyoke,sepertinya
ketoke,sepertinya
keknya,sepertinya
kykny,sepertinya
kyknya,sepertinya
kbr,kabar
kabar,kabar
pawarto,kabar
kburu,keburu
keburu,terlanjur
kcl,kecil
kecil,kecil
cilik,kecil
alit,kecil
kcuali,kecuali
kecuali,kecuali
kajaba,kecuali
kdg,kadang
kadang,kadang
kadang2,kadang-kadang
kederr,bingung
bingung,bingung
mumet,bingung
pusing,bingung
lieur,bingung
keles,kali
kemaren,kemarin
kemarin,kemarin
wingi,kemarin
kempot,kempes
kempes,kempes
kenceng,kencang
kencang,kencang
banter,kencang
kene,kena
kena,kena
kenen,keren
kepo,ingin tahu
serba ingin tahu,ingin tahu
penasaran,penasaran
kerad,keras
keras,keras
atos,keras
kesel,kesal
kesal,kesal
mangkel,kesal
jengkel,kesal
ketauan,ketahuan
ketahuan,ketahuan
konangan,ketahuan
k Habs,kehabisan
kehabisan,habis
keentekan,habis
kicep,diam
diam,diam
meneng,diam
kendel,diam
kimpoi,kawin
kawin,menikah
nikah,menikah
rabi,menikah
klian,kalian
kalian,kalian
sampean,kalian
klmtn,kalimantan
kmps,kampus
kampus,kampus
kmrn,kemarin
kn,kan
knl,kenal
kenal,kenal
tepang,kenal
kntl,kontol
ko,kok
kok,kok
lah kok,kok
kocag,kocak
kocak,lucu
ngakak,tertawa
ngguyu,tertawa
kompi,komputer
komputer,komputer
kongkow,kumpul-kumpul
kumpul,berkumpul
ngumpul,berkumpul
kopdar,kopi darat
ketemuan,bertemu
bertemu,bertemu
ketemu,bertemu
korup,korupsi
korupsi,korupsi
kpn,kapan
kapan,kapan
kramas,keramas
keramas,keramas
kreatip,kreatif
kreatif,kreatif
krezi,gila
krg,kurang
kurang,kurang
renyah,renyah
krj,kerja
krja,kerja
krumah,ke rumah
ksl,kesal
kt,kita
kita,kita
awake dewe,kita
kta,kata
kata,kata
omongan,kata
ucapan,kata
ktmu,ketemu
ktr,kantor
kantor,kantor
ktwa,tertawa
kul,kuliah
kuliah,kuliah
kurng,kurang
kusus,khusus
khusus,khusus
spesial,khusus
kw,imitasi
tiruan,imitasi
palsu,imitasi
kwkwkwk,tertawa
la,lah
lah,lah
laka,kecelakaan
kecelakaan,kecelakaan
ciloko,kecelakaan
lamo,lama
lama,lama
suwe,lama
lancar,lancar
bablas,lancar
lanjut,lanjut
laper,lapar
lapar,lapar
luwe,lapar
ngeleh,lapar
lapo,laporan
laporan,laporan
latian,latihan
latihan,latihan
gladhen,latihan
lebay,berlebihan
berlebihan,berlebihan
alay,berlebihan
nggilani,berlebihan
lesbi,lesbian
lesbian,lesbian
lht,lihat
lihat,lihat
liat,lihat
ndelok,lihat
nonton,menonton
melihat,lihat
lm,lama
lngsg,langsung
lol,tertawa
telmi,lambat berpikir
low,rendah
rendah,rendah
andhap,rendah
luchu,lucu
lupa,lupa
lali,lupa
supe,lupa
luthu,lucu
lwt,lewat
lewat,lewat
liwat,lewat
m,mas
maap,maaf
maaf,maaf
sori,maaf
sorry,maaf
punten,maaf
pangapunten,maaf
sepuro,maaf
macem,macam
macam,jenis
jenis,jenis
madesu,masa depan suram
maen,main
main,main
maenan,mainan
mainan,mainan
dolanan,mainan
mak,ibu
ibu,ibu
emak,ibu
simok,ibu
biyung,ibu
mama,ibu
bunda,ibu
make,pakai
pakai,pakai
nganggo,pakai
agem,pakai
makin,semakin
semakin,semakin
malah,malah
maleh,malah
malem,malam
malam,malam
wengi,malam
dalu,malam
mam,makan
makan,makan
mangan,makan
dhahar,makan
maem,makan
mana,mana
mane,mana
endi,mana
pundi,mana
mang,memang
mantul,mantap betul
manut,nurut
nurut,patuh
patuh,patuh
marketing,pemasaran
pemasaran,pemasaran
masa,masa
mosok,masa
masala,masalah
masalah,masalah
perkoro,masalah
problem,masalah
masbro,kakak
masukin,memasukkan
memasukkan,memasukkan
nglebokne,memasukkan
matiin,matikan
matikan,matikan
pateni,matikan
mba,mbak
mbl,mobil
mobil,mobil
montor,mobil
mbo,tidak tahu
mboh,tidak tahu
embuh,tidak tahu
ra ngerti,tidak tahu
mending,lebih baik
lebih baik,lebih baik
luwih apik,lebih baik
mendingan,lebih baik
mepet,mendesak
mendesak,mendesak
urgent,mendesak
merem,menutup mata
menutup mata,menutup mata
met,selamat
selamat,selamat
slamet,selamat
sugeng,selamat
mgkn,mungkin
mungkin,mungkin
mbok menowo,mungkin
jangan2,mungkin
mhn,mohon
mohon,mohon
nyuwun,mohon
migren,migrain
mik,mikrofon
mikrofon,mikrofon
miker,minum keras
mabuk,minum keras
miras,minum keras
milis,mailing list
minggu,minggu
ahad,minggu
minjem,pinjam
pinjam,pinjam
nyilih,pinjam
ngampil,pinjam
minta,minta
jaluk,minta
njaluk,minta
mj,meja
meja,meja
mk,maka
maka,maka
mkah,makalah
makalah,makalah
mkan,makan
mkin,makin
mtr,motor
motor,sepeda motor
sepeda motor,sepeda motor
pit montor,sepeda motor
muahal,mahal
mahal,mahal
larang,mahal
muantab,mantap
murmer,murah meriah
murah meriah,murah meriah
muter,berputar
berputar,berputar
mubeng,berputar
mvp,pemain terbaik
pemain terbaik,pemain terbaik
best player,pemain terbaik
mw,mau
n,dan
naek,naik
naik,naik
munggah,naik
nagh,anak
anak,anak
lare,anak
najis,jijik
jijik,jijik
gumoh,jijik
nak,anak
nanya,bertanya
bertanya,bertanya
takon,bertanya
tanglet,bertanya
napi,narapidana
narapidana,narapidana
napsu,nafsu
nafsu,nafsu
narsis,bangga diri
bangga diri,bangga diri
pamer,pamer
nasgor,nasi goreng
nasi goreng,nasi goreng
sego goreng,nasi goreng
ndiri,sendiri
sendirian,sendiri
dewe,sendiri
piyambak,sendiri
ne,ini
ini,ini
iki,ini
niku,ini
nelfon,menelepon
menelepon,menelepon
nelpon,menelepon
telpon,telepon
nemu,menemukan
menemukan,menemukan
nemokake,menemukan
neng,adik
net,internet
internet,internet
ngaku,mengaku
mengaku,mengaku
ngakoni,mengaku
ngalamin,mengalami
mengalami,mengalami
ngalami,mengalami
ngambek,marah
marah,marah
nesu,marah
duko,marah
ngantuk,mengantuk
mengantuk,mengantuk
ngarep,berharap
berharap,berharap
ngebut,cepat
ngece,mengejek
mengejek,mengejek
ngelek elek,mengejek
ngenyek,mengejek
ngekos,tinggal di kos
kos,indekos
indekos,indekos
ngeles,berkilah
berkilah,berkilah
ngelak,berkilah
ngeluh,mengeluh
ngemil,makan ringan
ngenes,sedih
sedih,sedih
susah,sedih
nelongso,sedih
ngepost,mengirim
mengirim,mengirim
posting,mengirim
ngerasa,merasa
merasa,merasa
rumangsa,merasa
ngerjain,mengerjai
mengerjai,mengerjai
nggarap,mengerjai
ngeselin,menyebalkan
menyebalkan,menyebalkan
mangkelno,menyebalkan
ngetwit,menulis tweet
nggu,nunggu
nunggu,menunggu
menunggu,menunggu
ngenteni,menunggu
ngentosi,menunggu
ngiler,tergoda
tergoda,tergoda
kepengen,tergoda
ngiri,iri
ngisiin,mengisi
mengisi,mengisi
ngisi,mengisi
ngong,bingung
ngopi,minum kopi
minum kopi,minum kopi
ngreply,membalas
nih,ini
nimbrung,ikut bergabung
ikut,ikut serta
melu,ikut serta
nip,nomor induk pegawai
nipon,jepang
jepang,jepang
nlfn,menelepon
nmr,nomor
nomor,nomor
nomer,nomor
nntn,nonton
nobar,nonton bareng
nonton bareng,nonton bareng
nolong,menolong
menolong,menolong
nulungi,menolong
nongkrong,kumpul
noob,pemula
pemula,pemula
newbie,pemula
nubie,pemula
cupu,pemula
norak,kampungan
kampungan,kampungan
ndeso,kampungan
ntabs,mantap
ntar,nanti
nanti,nanti
mengko,nanti
ntn,nonton
ntr,nanti
numpuk,bertumpuk
bertumpuk,bertumpuk
numplek,bertumpuk
nw,menawarkan
menawarkan,menawarkan
nawani,menawarkan
nymn,nyaman
nyaman,nyaman
nyokap,ibu
nyusul,menyusul
menyusul,menyusul
nusul,menyusul
o,oleh
oleh,oleh
karo,oleh
ogah,tidak mau
ora gelem,tidak mau
emoh,tidak mau
okay,oke
okey,oke
oles,oleh
om,paman
paman,paman
pakde,paman
omdo,omong doang
omong kosong,omong doang
onlen,daring
online,daring
daring,daring
oot,keluar topik
keluar topik,keluar topik
ortu,orang tua
orang tua,orang tua
wong tuo,orang tua
otak,pikiran
pikiran,pikiran
otw,sedang di jalan
dijalan,sedang di jalan
p,pergi
pacar,kekasih
kekasih,kekasih
ayang,kekasih
paketin,memaketkan
memaketkan,memaketkan
pala,kepala
kepala,kepala
sirah,kepala
mustaka,kepala
pansos,panjat sosial
panjat sosial,panjat sosial
parah,buruk
buruk,buruk
parno,takut
pasutri,pasangan suami istri
pasangan suami istri,pasangan suami istri
pd,pada
pede,percaya diri
percaya diri,percaya diri
pedes,pedas
pedas,pedas
pegel,lelah
pejwan,halaman satu
halaman satu,halaman satu
pelis,tolong
pen,ingin
per,per
peres,palsu
pesen,pesan
pesan,pesan
order,pesan
pg,pagi
pagi,pagi
esuk,pagi
enjing,pagi
pgn,ingin
pic,gambar
gambar,gambar
foto,gambar
pik,pikiran
pintar,pintar
pinter,pintar
cerdas,pintar
pandai,pintar
pisan,sangat
sangat,sangat
pol,sangat
pk,pakai
pke,pakai
pl,pula
pula,pula
plg,paling
paling,paling
pm,pesan pribadi
pesan pribadi,pesan pribadi
japri,pesan pribadi
dm,pesan pribadi
pngn,ingin
pnjg,panjang
panjang,panjang
dowo,panjang
po,pesan dulu
preorder,pesan dulu
ponakan,keponakan
keponakan,keponakan
pr,pekerjaan rumah
pekerjaan rumah,pekerjaan rumah
pe er,pekerjaan rumah
prcaya,percaya
percaya,percaya
percoyo,percaya
prcy,percaya
prei,libur
libur,libur
prg,pergi
priksa,periksa
periksa,periksa
cek,periksa
prnh,pernah
pernah,pernah
promot,promosi
promosi,promosi
prov,provinsi
provinsi,provinsi
psn,pesan
pst,pasti
psti,pasti
ptg,potong
potong,potong
iris,potong
puanas,panas
panas,panas
sumuk,panas
pub,publikasi
publikasi,publikasi
pulang,kembali
kembali,kembali
balik,kembali
mulih,kembali
kondur,kembali
pulsa,pulsa
permisi,permisi
nuwun sewu,permisi
puyeng,pusing
pny,punya
punya,punya
nduwe,punya
gadah,punya
q,aku
qt,kita
rame,ramai
ramai,ramai
rcti,rajawali citra televisi indonesia
rebes,beres
beres,selesai
mari,selesai
rampung,selesai
reg,regional
regional,regional
rejeki,rezeki
rezeki,rezeki
rek,rekening
rekening,rekening
rempong,repot
repot,repot
riweuh,repot
rest,istirahat
istirahat,istirahat
ngaso,istirahat
leren,istirahat
resync,sinkronisasi ulang
ripiu,ulasan
ulasan,ulasan
review,ulasan
ripost,kirim ulang
kirim ulang,kirim ulang
repost,kirim ulang
rotfl,tertawa terbahak-bahak
rt,rukun tetangga
ru,baru
ruame,ramai
ruko,rumah toko
rumah toko,rumah toko
rusuh,ribut
ribut,ribut
gawedan,ribut
rw,rukun warga
salken,salam kenal
salam kenal,salam kenal
sam,sama
sange,nafsu
sapose,siapa
sarkas,sarkastik
sarkastik,sarkastik
sato,binatang
binatang,hewan
hewan,hewan
kewan,hewan
sakit,sakit
loro,sakit
gerah,sakit
salting,salah tingkah
salah tingkah,salah tingkah
grogi,salah tingkah
samsek,sama sekali
sama sekali,sama sekali
blas,sama sekali
santuy,santai
santai,santai
selo,santai
slow,santai
selow,santai
sbh,sebuah
sebuah,sebuah
siji,sebuah
sblm,sebelum
sebelum,sebelum
sakdurunge,sebelum
sblmnya,sebelumnya
sbnr,sebenarnya
sebenarnya,sebenarnya
sakjane,sebenarnya
sbnrnya,sebenarnya
sdg,sedang
sedang,sedang
lagi,sedang
nembe,sedang
sdgkn,sedangkan
sedangkan,sedangkan
sdkt,sedikit
sedikit,sedikit
sitik,sedikit
sakedik,sedikit
sdkit,sedikit
sdr,saudara
se7,setuju
setuju,setuju
stuju,setuju
sreg,setuju
cocok,setuju
sebel,kesal
sedeng,gila
sejenis,seperti
seklh,sekolah
sekolah,sekolah
sekseh,seksi
seksi,seksi
selpi,selfie
selfie,swafoto
swafoto,swafoto
semangka,semangat
semangat,semangat
spirit,semangat
semok,seksi
sempak,celana dalam
celana dalam,celana dalam
cd,celana dalam
sendratari,seni drama tari
sene,sana
sana,sana
kono,sana
seng,yang
sentrap,sentral
sentral,pusat
pusat,pusat
seo,optimasi mesin pencari
sgt,sangat
shg,sehingga
sehingga,sehingga
shot,foto
si,si
sia,saja
siap,siap
ready,siap
sikon,situasi kondisi
situasi kondisi,situasi kondisi
sim,surat izin mengemudi
surat izin mengemudi,surat izin mengemudi
sinetron,sinema elektronik
sinyo,tuan muda
ska,suka
skalian,sekalian
sekalian,sekalian
skdr,sekadar
sekadar,sekadar
sklh,sekolah
skrg,sekarang
sekarang,sekarang
skrng,sekarang
sakniki,sekarang
sl,selalu
selalu,selalu
tansah,selalu
slah,salah
salah,salah
keliru,salah
kliru,salah
slh,salah
slm,salam
salam,salam
slmat,selamat
slonjoran,berselonjor
berselonjor,berselonjor
slsai,selesai
selesai,selesai
smw,semua
semua,semua
kabeh,semua
sedaya,semua
sndri,sendiri
sng,senang
senang,senang
bungah,senang
sngt,sangat
sok,pura-pura
pura2,pura-pura
ethok ethok,pura-pura
sokil,gaul
gaul,gaul
songong,sombong
sombong,sombong
kemaki,sombong
sop,standar operasional prosedur
